Name,Start Time,End Time,Description,Price
b'The Nutcracker - Sunday December 3 @ 2pm',2017-12-03T14:00:00,2017-12-03T15:30:00,"
Visions of sugar plums and flurries of snow will once again come to life on stage as The Randazzo Dance Company presents three performances of Tchaikovsky’s The Nutcracker at the Skyline High School auditorium in Ann Arbor. The show will run Saturday, December 2 and Sunday, December 3. This will be the Randazzo Dance Company's (formerly Ypsilanti Area Dancers) 49th annual performance and a return to a holiday tradition.*** Guest dancers from highly acclaimed BOSTON BALLET will be dancing in each performance!!!!***Join Clara on her enchanting journey with her Nutcracker gift-turned prince to the magical land of the sweets. Most memorable moments of this famous ballet include the battle of the mice and toy soldiers, the dance of the snowflakes and Mother Ginger with her enormous hoop skirt and her little gumdrops. Artistic Director, Sara Randazzo, assisted by Roya Panahi, Audrey Slough and Christine Sampier, have added new choreography to many numbers. Professional sets and costumes round out the superior quality of this Nutcracker production—making it a stand-out among local holiday performances.There will be a discounted rate for groups of 10 or more. Contact RDCTicketsales@gmail.com to reserve your group seats!Show times:Saturday, December 2: 2:00 and 7:00 p.m.Sunday, December 3: 2:00 p.m.The Patron donations are:$25 for Premium Seats$15 for Mid-Level Seats $10 for Gallery Seats
Tickets purchased on a mobile device will be auto assinged the best seat available. To pick your seat you must purchase on a laptop, tablet, or desktop device.
Information about reserving seats will be available on our website soon.Questions? dancewithrdc@gmail.com",Paid
"b'Instruction in Monitoring, Procedures Documentation and ClinicalTrials.gov (IMPACT): November 2017'",2017-11-06T14:00:00,2017-11-20T16:00:00,"Program Overview:
Have you completed basic instruction in clinical research but are looking for more? The Instruction in Monitoring, Procedures Documentation and ClinicalTrials.gov (IMPACT) workshop series is designed for study team members who are ready for an intermediate level of training for clinical trials skills. Participants will learn critical clinical research skills through a group learning environment and hands-on skills practice. Maximum benefit will be gained by attending all three sessions, but it is not required. All sessions are held at Danto Auditorium.
Brought to you by the Michigan Institute for Clinical & Health Research (MICHR) and the Clinical Trial Support Office (CTSO).
Topics include: 
 

Procedures Documentation for Clinical Trials (November 6, 2017)
Monitoring for Clinical Trials (November 13, 2017)
ClinicalTrials.gov and Its Interaction with Protocols, Documents and Study Management (November 20, 2017)

 
REGISTRATION IS REQUIRED 
Session Descriptions:
 
Procedures Documentation for Clinical Trials
November 6, 2017 - 2:00 - 4:00 pm
This session will introduce participants to best practices for creating, interpreting and using a manual of procedures (MOP) and other procedures documentation to ensure standardized practices across personnel and sites of a clinical trial. Topics will include an overview of sections to include in a MOP, what to do if a documented procedure isn’t feasible and information about the new IRB requirement for uploading a MOP if you are coordinating a multi-site trial. 
 
Monitoring for Clinical Trials
November 13, 2017 - 2:00 - 4:00 pm        
This session will introduce participants to best practices in preparing for and participating in clinical trial monitoring visits. Topics will include understanding the purpose of monitoring and how it differs from an audit, what to expect from different types of monitoring visits, and tips on responding to follow-up letters and reports.
 
ClinicalTrials.gov and Its Interaction with Protocols, Documents and Study Management
November 20, 2017 - 2:00 - 4:00 pm
Before attending this session participants should have either used ClinicalTrials.gov or previously attended ClinicalTrials.gov registration training from the Office of Regulatory Affairs. This session will cover new requirements for registration, updates, use of special informed consent language, results reporting, and protocol uploads. Group exercises and discussion will help participants learn how to avoid common mistakes in ClinicalTrials.gov. Topics will include how to draft arms and interventions, translating protocol aims into specific outcome measures, and results reporting for different clinical trial models. ",Free
b'A2F2: The Ann Arbor Foto Fest',2017-11-11T09:30:00,2017-11-11T16:00:00,"What is it?
CameraMall has put together a day full of FREE photography events and classes where you'll have the opportunity to talk to the big names in photography like Nikon, Sigma, Panasonic, Olympus, and Fujifilm. CameraMall will have ONE DAY specials that beat Amazon and B&H prices on select inventory and $30 on-site DSLR sensor cleanings. This is your one-day stop for all your photography needs. A2F2, Ann Arbor's very own Foto Fest.

Schedule
9:30AM-3:30PM: Used Camera Buyer On-Site - Sell Your Photo Gear
10AM-3:30PM: On-Site Sensor Cleanings by Midwest Camera Repair ($30)
10AM-12PM: Frame It Like a Pro: Landscapes and Cityscapes by Bryan Minear (FREE)
11:30AM-1PM: Shootout in the Alley with Sigma Lens Expert, Marc Farb (FREE)
12PM-1:30PM: Travel Photography Photowalk with CB Friedland and Patrick Morgan (FREE)
1PM-3PM: Capturing Life in the Streets with Olympus Visionary, Mike Boening (FREE)
2PM-2:30PM: What's the Buzz with the Fujifilm GFX? by Bryan Minear (FREE)
2:30PM-3PM: Which One is For Me - the X-Pro2 or X-T2? by Bryan Minear (FREE)
3PM-3:30PM: What Are My Favorite Fujifilm X Lenses? with X Photographer, Bryan Minear (FREE)


Why should you come?
Free Photo Events and Classes
We've put together a full-day of FREE photo presentations and picture-taking events. Photographers of any experience level and cameras of any brand are welcome! This is a great opportunity to learn new photography skills, get fired up about photography, and make some new friends!

$30 On-Site Sensor Cleanings
Midwest Camera Repair will be at our store offering $30 on-site sensor cleanings performed by certified repair technicians.

Meet the Big Names in Photography
We'll have representatives on-hand from the big photography companies (listed below) to answer any of your questions about gear or using your equipment; and they'll be bringing all the latest and greatest equipment for you to try out!

Nikon
Sigma
Panasonic
Olympus
Fujifilm


Used Camera Buyer On-Site

We will have a used camera buyer on-site to make offers for your used photo equipment. Bring your gently used, one owner, photographic gear to either sell or trade.


We'll Beat Amazon Prices
We'll have ONE DAY specials on select inventory that will beat Amazon and B&H prices. If you're thinking about picking up some equipment, this could be a great day to do it.

",Free
b'Michigan Engineering North Campus Tour',2017-11-27T14:00:00,2017-11-27T16:30:00,"Parking and Transportation Tips
 
By University Bus (Free)
University of Michigan buses are the easiest way to get around campus! There is no cost - Simply hop on and ride.
 
Many visitors prefer to park in a parking structure on Central Campus and hop on a blue Michigan bus to ride up to North Campus. It's only about two miles, and the bus ride can take up to 20 minutes during peak traffic times.
 
Commuter North and Diag-to-Diag Express routes are recommended. The closest stop for these routes is near Cooley Laboratory. Bursley-Baits and Northwood routes will stop at Pierpont Commons.
 
You can also track Michigan buses in real time using Magic Bus.
 
By Car
Visitor parking on North Campus is limited. Payment booths accept both cash and card. We recommend you park in the metered visitor parking spaces behind either the Lurie Biomedical Building or Art & Architecture Building. Please make sure that you do not park in the ""Blue Permit"" or ""Business"" parking spaces, which are reserved for staff. Please see an example of the visitor parking sign:

Printable North Campus Parking Map (PDF)
Detailed North Campus Parking Map (PDF)
 


North Campus, the home of Michigan Engineering, is a hub of creativity — where engineering, art, music and design students co-exist.
 
Join us in for a thirty minute information session starting at 2:00 pm, immediately followed by a walking tour of our Engineering facilities at 2:30. The tour will conclude by 4:30 pm.
 
If you have any questions about North Campus Engineering Tours, please call (734) 647-7101 to speak with an Engineering Recruitment & Admissions staff member.
 
*We require closed-toe shoes and long pants to be worn on the tour due to Wilson Center safety standards.*

 
Schedule
2:00 pm: Information session with Recruitment & Admissions staff
2:30 pm: Walking tour with current Michigan Engineering student
4:30 pm: Walking tour concludes at Chrysler Center
 


Interested in a Central Campus walking tour?
Central Campus walking tours are hosted by the Office of Undergraduate Admissions. Click here to plan your visit!",Free
b'Rescuing Democracy:  A Community Conversation',2017-11-11T13:00:00,2017-11-11T17:10:00,"RESCUING DEMOCRACY:  A COMMUNITY CONVERSATION
SATURDAY NOVEMBER 11, 2017 FROM 1:00 pm – 5:10 pm
Washtenaw Community College, Crain Liberal Arts Building, Room 275
4800 East Huron River Drive, Ann Arbor, MI 
Note: Scroll down past the map for the Conference Program details:  titles of talks and speaker biographies

DIRECTIONS & MAP - (free parking) 

Enter off Huron River Drive east of Dixboro Road and proceed past free surface parking lots 1-3, to free parking in structure (labelled ""PSD"" on map below).  Enter Crain Liberal Arts building (labelled ""LA"" on map below) from 2nd floor of parking structure through connector.  Proceed to Room 275 in the Liberal Arts Building.



WELCOME AND INTRODUCTION
1 PM – 1:25 PM
La’Ron Williams, B.F.A., Professional Storyteller and Racial Justice Educator

THE MEANING OF DEMOCRACY IN THE UNITED STATES, 1787-1877 
1:25 PM – 2:25 PM
Howard Brick, Ph.D., Louis Evans Professor of History, University of Michigan

BREAK
2:25 PM - 2:35 PM

DEMOCRACY AND THE AMERICAN REALITY 
2:35 PM – 3:35 PM
Peter Hammer, J.D., Ph.D., Director of Damon J. Keith Center for Civil Rights, Professor of Law, Wayne State University

BREAK
3:35 PM - 3:45 PM

DEMOCRACY OR RACIAL OLIGARCHY? 
3:45 PM – 4:45 PM
Vincent Hutchings, Ph.D., Professor of Political Science and Research, Professor at the Insitute for Social Research, University of Michigan

CONCLUSION
4:45 PM to 5:10 PM
 La’Ron Williams, B.F.A., Professional Storyteller and Racial Justice Educator

FULL DESCRIPTIONS OF TALKS &
SPEAKER BIOGRAPHIES

WELCOME AND INTRODUCTION
1:00 PM – 1:25 PM
 La’Ron Williams, B.F.A., Professional Storyteller and Racial Justice Educator
Nationally acclaimed and multiple award-winning storyteller La’Ron Williams presents programs that are specifically designed to promote diversity, foster community building, encourage peaceful conflict resolution, and teach a host of pro-social skills.  For business organizations and non-profits, he presents diversity workshops that help participants to understand the nature of “invisible” bias and to move beyond the emotional stumbling blocks that prevent them from taking collective responsibility for creating a just and equitable society.  La’Ron is a member of the Racial and Economic Justice Task Force of the Ann Arbor based Interfaith Council for Peace and Justice, and is a founding member of “Washtenaw Faces Race”, an all-volunteer, inter-racial, interdisciplinary group who consciously and consistently work to dismantle racial hierarchy and promote racial equity in local institutions within Washtenaw County.
The United States started with an act of declaration rooted in a set of noble ideals that for the past two and a half centuries have formed our national creed: Freedom, equality, “liberty and justice for all."" At the same time, we’ve maintained a set of social practices that directly contradicted those ideals. Any realistic examination of U.S. history clearly shows that democracy has never been more than a guiding principle.
Even so, although our democratic ideals have been severely compromised, they’ve provided a strong and compelling goal toward which many Americans have aspired.
Today, this has changed. Over the past 50 years or so, huge numbers of Americans have lost faith in the idea of a citizen-driven, responsible, reliable democratic government. Whether on the local, state, or federal level, many Americans believe themselves to exist in an adversarial relationship with their legislators, and with the entire political process.
But isn’t our government supposed to be us? Has democracy itself failed, or are our democratic ideals losing credibility in the face of other corrupting social forces? If other forces are at fault, then what exactly are they? Can their origins be traced to choices we’ve made throughout our history? If we still believe in democracy as an ideal, then how can it be rescued?

THE MEANING OF DEMOCRACY IN THE UNITED STATES, 1787-1877 
1:25 PM – 2:25 PM 
Howard Brick, Ph.D., Louis Evans Professor of History, University of Michigan
Howard Brick is Louis Evans Professor of History, University of Michigan.  He is author of Radicals in America: The US Left since the Second World War, with Christopher Phelps (2015); Transcending Capitalism: Visions of a New Society in Modern American Thought (2006); Age of Contradiction: American Thought and Culture in the 1960s (2000); and Daniel Bell and the Decline of Intellectual Radicalism (1986). Work in progress includes a study of how global decolonization in the mid-twentieth century recast theories of world history.
This session is intended to serve as a kind of primer on the general qualities/values of democracy as that was understood roughly in the first century of U.S. history—from the Constitution of 1787 through the end of Reconstruction in the former Confederate states.  The meaning of democracy changed over time, and even as people came to describe the United States as a democracy, the ideals of democracy posed a challenge to the realities of US government and politics. What are the qualities of democracy that give it value for today?

BREAK
2:25 PM - 2:35 PM

DEMOCRACY AND THE AMERICAN REALITY 
2:35 PM – 3:35 PM
Peter Hammer, J.D., Ph.D., Director of Damon J. Keith Center for Civil Rights, Professor of Law, Wayne State University
A professor at Wayne State University Law School since 2003, Peter Hammer is the director of the Damon J. Keith Center for Civil Rights. The Keith Center is dedicated to promoting the educational, economic and political empowerment of under-represented communities in urban areas and to ensuring that the phrase ""equal justice under law"" applies to all members of society. Professor Hammer was instrumental in editing and compiling Judge Damon J. Keith's new biography, Crusader for Justice: Federal Judge Damon J. Keith (2013). Professor Hammer has become a leading voice on the economic and social issues impacting the city of Detroit, and has added new courses to the law school curriculum on ""Race, Law and Social Change in Southeast Michigan"" and ""Re-Imagining Development in Detroit: Institutions, Law & Society.""
 America was established on the back of lofty democratic ideals. But has America ever really lived out its creed – even by its own standards? In what ways has our professed belief in democracy been compromised in order to accommodate our lived realities of geographic expansion, and race, gender, and class hierarchy? What effect did our historical compromises have on the shape of our society during its first 200 years?

BREAK
3:35 PM - 3:45 PM

DEMOCRACY OR RACIAL OLIGARCHY? 
3:45 PM – 4:45 PM 
Vincent Hutchings, Ph.D., Professor of Political Science and Research Professor at the Institute for Social Research, University of Michigan
Vincent Hutchings is a Professor of Political Science at the University of Michigan and a Research Professor at the Institute for Social Research. He has explored the ways in which political campaigns can frame information about racial issues in order to activate and make politically relevant voter attitudes about particular racial groups. Current work focuses on inter-racial and inter-ethnic competition and the ways in which elite communications can exacerbate or diminish inter-group conflict. He is currently the co-Principal Investigator of the American National Election Study (ANES).  Professor Hutchings authored Public Opinion and Democratic Accountability (2003). His work has appeared in the American Sociological Review, the American Political Science Review, the Journal of Politics, the Annual Review of Political Science, Political Communication, Public Opinion Quarterly, Political Psychology, the Journal of Communication and Legislative Studies Quarterly.
What has happened to democracy over the last fifty years or so? What have been the most notable democratic victories and set-backs in that time? Why has there been a massive national turn toward the acceptance of right-wing authoritarianism, and what threat does this pose to the ideals that historically have underscored our aspirational democratic center? This session will focus primarily on the right-wing backlash of the past 50 years or so, especially that which has taken place in the wake of the Civil Rights movement. It will describe the development of the general lack of faith Americans feel about the efficacy of citizenship, reflect upon the connections between the ways the widespread political and social manipulation of race and class acted to thwart democratic practice in the past, and show how that same manipulation currently is being used to erode our national faith in our democratic principles. It will illuminate how/why in recent years we’ve had a government that ignores/contradicts/flouts established guiding democratic principles, and point out the danger this poses. 

Closing
 4:45 PM to 5:10 PM 
La’Ron Williams, B.F.A., Professional Storyteller and Racial Justice Educator
 Biography: (See his bio. listed above for his Welcome and Introduction talk)
What can we do to rescue democracy? In this session, Washtenaw Faces Race will offer suggestions for steps that can be taken to address the current challenges to America’s democratic ideals. We will allow time for attendees to make connections with area groups who are already involved in actions to maintain democracy. 
At the same time, we will advocate for an additional step: We assert that what passes for democracy under the current status quo in this country is neither benign nor neutral. In fact, we assert that in practice, we remain so far from our democratic values that we cannot even accurately be called a democracy. We raise the question: How does one ""protect"" or ""defend"" something that has never really existed? Instead, we believe that we must, in full awareness of our historic choices and the effects they have had on our social set-up, consciously make the decision to rescue our democratic ideals, to declare them to be our shared national goal, to advocate for their realization, and to work together to make it so. We believe it's time for a new, organized campaign based on a collective citizen demand to become in reality the land of freedom and justice that we claim we’ve always been. ",Free
b'The Nutcracker - Saturday December 2 @ 2pm',2017-12-02T14:00:00,2017-12-02T15:30:00,"
Visions of sugar plums and flurries of snow will once again come to life on stage as The Randazzo Dance Company presents three performances of Tchaikovsky’s The Nutcracker at the Skyline High School auditorium in Ann Arbor. The show will run Saturday, December 2 and Sunday, December 3. This will be the Randazzo Dance Company's (formerly Ypsilanti Area Dancers) 49th annual performance and a return to a holiday tradition.*** Guest dancers from highly acclaimed BOSTON BALLET will be dancing in each performance!!!!***Join Clara on her enchanting journey with her Nutcracker gift-turned prince to the magical land of the sweets. Most memorable moments of this famous ballet include the battle of the mice and toy soldiers, the dance of the snowflakes and Mother Ginger with her enormous hoop skirt and her little gumdrops. Artistic Director, Sara Randazzo, assisted by Roya Panahi, Audrey Slough and Christine Sampier, have added new choreography to many numbers. Professional sets and costumes round out the superior quality of this Nutcracker production—making it a stand-out among local holiday performances.There will be a discounted rate for groups of 10 or more. Contact RDCTicketsales@gmail.com to reserve your group seats!Show times:Saturday, December 2: 2:00 and 7:00 p.m.Sunday, December 3: 2:00 p.m.The Patron donations are:$25 for Premium Seats$15 for Mid-Level Seats $10 for Gallery Seats
Tickets purchased on a mobile device will be auto assinged the best seat available. To pick your seat you must purchase on a laptop, tablet, or desktop device.Information about reserving seats will be available on our website soon.Questions? dancewithrdc@gmail.com",Paid
b'Health & Fitness Workshop 2017',2017-12-01T08:00:00,2017-12-01T14:30:00,"The Health and Fitness Workshop is held annually each December for K-12 health and fitness educators. The goal of these workshops is to provide ready-to-implement ideas and practices teachers can take right back to their classroom in the areas of health, physical education, recreation, sports and athletics, dance, professional development, and adapted activity. There are four breakout sessions with four presentations in each. As part of this registration you will be asked to register for one presentation from each session. All participants will attend the Keynote Presentation.
Check-in begins at 8:00AM. A light breakfast of bagels, fruit, and coffee will be provided.  If you plan on attending the Pre-Workshop Session, check-in will begin at 6:45AM. There is no lunch break allotted. If you select the boxed lunch option, it will be delivered for you to enjoy during the Keynote Presentation.
For more information and to view our Health & Fitness Workshop brochure, please visit our website at:
http://www.kines.umich.edu/community-programs/health-and-fitness-workshop
FAQs
What are my parking options?
You are responsible for your own parking fees. Palmer Drive and Forest Street are two structures near the Central Campus Recreation Building (CCRB). Both take cash, credit and debit. Metered parking surrounding the CCRB is also available. Please visit http://pts.umich.edu/maps/central_south.pdf for these structure locations.
Who can I contact with any questions?
Kerry Winkelseth, Director
734.647.2708
kebwink@umich.edu 
OR
Beth Lee, Assistant Director
bethlee@umich.edu
http://www.kines.umich.edu/community-programs/health-and-fitness-workshop
 ",Paid
b'Mentoring Forum 2017',2017-11-09T08:30:00,2017-11-09T10:30:00,"Mentoring Forum 2017
Co-sponsored by
MICHR  
and the Office of Faculty Development, Medical School     
8:30 - 10:30 a.m., November 9, 2017
Research Auditorium, Building 10, North Campus Research Complex (NCRC)
 
The 2017 Mentoring Forum will feature a presentation on ""Coaching for a Successful and More Satisfying Career"" by Dr. Doris Rubio, Professor of Medicine, Biostatistics, Nursing, and Clinical & Translational Science and Associate Vice Provost for Faculty at the University of Pittsburgh.  This will be followed by the 2017 MICHR Distinguished Mentor Awards Ceremony, presented by Dr. George A. Mashour, Associate Dean for Clinical & Translational Research, Medical School, Executive Director of MICHR, and Executive Director for Translational Research, Office of Research.
Career Coaching is an effective method to inspire faculty to maximize their personal and professional potential. During her presentation, Dr. Rubio will delineate the difference between mentoring and coaching and how coaching can be used to help faculty be more productive, set goals, and achieve those goals.

Schedule:
8:30 a.m.: Check-in and light breakfast
9:00 a.m.: ""Coaching for a Successful and More Satisfying Career"" presentation by Dr. Doris Rubio, Professor of Medicine, Biostatistics, Nursing, and Clinical & Translational Science and Associate Vice Provost for Faculty at the University of Pittsburgh.  Dr. Rubio's presentation will be followed by the 2017 MICHR Distinguished Mentor Awards Ceremony, presented by Associate Dean for Clinical & Translational Research, Medical School, Dr. George A. Mashour.
 
Know a great resource or piece of advice about mentoring?  Tweet it at #MICHRmentoring.",Free
b'Michigan Medicine: Diabetes in the School 101 Program',2017-11-14T08:30:00,2017-11-14T15:30:00,"Michigan Medicine Division of Pediatric Endocrinology will be hosting a community outreach program called “Diabetes in the School 101: A Program for School Personnel” on November 14, 2017 from 8:30am-3:30pm. This educational event will provide school personnel with information about caring for a child with diabetes and the most current diabetes medical advancements. This event will consist of presentations and opportunities for hands-on practices with diabetic devices. Topics to be covered include basic diabetes, blood glucose testing, insulin therapy, nutrition, insulin pumps, legal issues related to diabetes in the school, and hypoglycemia and hyperglycemia.
*Diabetes in the School Program is for School Staff & Personnel ONLY*
*To purchase your ticket for this event has been extended to November 10, 2017*
*Event Registration from 8:00am-8:30am*
*Light breakfast and Lunch will be included*",Paid
b'Pitch Club Ann Arbor ',2017-11-29T17:00:00,2017-11-29T19:30:00,"About Pitch Club
Pitch club is a  unique mentoring and funding program hosted across the state of Michigan in Detroit, Ann Arbor, Lansing, and Grand Rapids. Pitch Club has ongoing monthly events that provide entrepreneurs the opportunity to learn from seasoned entrepreneurs and investors. The events are meant to educate, network, inspire and provide valuable experiences for being investable. During the event, experts will discuss the key personality traits and business acumen any entrepreneur should understand to be successful in any fundraising efforts. As part of the events, 3 lucky entrepreneurs will receive the opportunity to practice their pitch and discuss business plan with funding experts, giving them a better understanding the mindset of an investor. Presenters will be given milestones to complete. In addition to guidance from our host and guest experts, attendees will be given a survey to provide additional feedback to the presenters. Pitch club will also feature a guest keynote who can speak on topics related to starting a company, technology, and opportunities for entrepreneurs.
Agenda


5:10pm – 5:25pm: Registration


5:25pm – 5:30pm: Opening Remarks


5:30pm-6:30pm: Company Presentations


6:30pm-6:35pm: 2 minute restroom break, and introduction of Paul Glantz


6:35pm-6:55pm: Keynote, Paul Glantz, Founder and Chairman of Emagine Entertainment, Inc. and CEO of Proctor Financial Inc


6:55pm – 7:10pm: Q&A with Audience


7:10pm – 7:30pm: Networking



Keynote
Paul Glantz, Founder and Chairman of Emagine Entertainment, Inc. and CEO of Proctor Financial Inc.
November 29th Judges
Chris Stallman, Partner at Fontinalis Partners, LLC
James Chapman, Entrepreneurship, Community Investment Fund, Quicken Loans 
Robi Mitra, CEO, K&A Resource Group
Steve Jbara , Owner, Grand Rapids Drive
Tember Shea, Director inGAGE, Inforum
Sridhar Lakshmanan, Educator, Entrepreneur, Mentor, University of Michigan, Dearborn

Who should attend?


Investors and corporate executives looking to network, hire talent, get inspired or are involved in M&A and/or business development.


Accredited investors looking for investment or co-investment opportunities.


The entrepreneur, who just had a flash of a billion dollar idea-looking for an investment.


Startups & early stage technology companies developing a viable business model.


Social entrepreneurs looking to disrupt and change the future.


Startups looking to connect  with mentors and educate themselves on all aspects of launching a business


Startups looking to create a profitable business model.

",Free
b'Frederick A. Coller Surgical Society Dues',2017-02-06T08:00:00,2025-07-31T08:00:00,"
INSTRUCTIONS FOR PAYING ANNUAL COLLER SOCIETY DUES
This is a secure website to pay annual membership dues by credit card to the Frederick A. Coller Surgical Society. Dues are $300 per year. Some members may owe for previous years. Refer to the member statement that was sent via the US Postal Service or email. Please select the REGISTRATION button on this page to pay dues. Select the years that you owe. Fees will be included if paying by credit card through this website. Statements are sent out in late summer for the current calendar year. 2017 and previous years can currently be paid via this website. 
Address if you would like to pay your annual dues by check with no fees.
Coller Surgical Society
U-M Department of Surgery
Attn: Corey Jessop
2101 Taubman Center
1500 E. Medical Center Drive
Ann Arbor, MI 48109-5346
",Paid
b'Ross BBA High School Student Information Session',2017-11-10T14:00:00,2017-11-10T15:30:00,"Visit us!  
High School students, parents, and family members are welcome to join us in an information session dedicated to the undergraduate experience at the Stephen M. Ross School of Business.  During this session you will learn more about the Bachelors of Business Administration (BBA) program through an interactive presentation, current student panel, and tour of the Ross building.
The Ross BBA Program is nationally known for our focus on action-based learning, leadership development, and global experiences.  We hope to see you on campus so that you can discover this experience yourself!
We also encourage you to take the day to visit the University of Michigan’s campus by attending an Office of Undergraduate Admissions information session and tour.  Please visit www.admissions.umich.edu to sign up for this central campus experience as well.
This Ross information session and tour will be held at the Stephen M. Ross School of Business in Blau Hall at 700 East University.  (Information sessions and tours provided by the University’s Office of Undergraduate Admissions will be held at the Student Activities Building, 515 E Jefferson Street, Ann Arbor, MI 48109.)  For assistance, please call 734-763-5796 or email rossundergrad@umich.edu.  ",Free
"b'Community Forum, Part 2'",2017-11-13T15:00:00,2017-11-13T17:00:00,"Community Forum Part 2
The Washtenaw Coordinated Funders recently participated in a third-party evaluation by TCC Group to understand community's progress on key issues, learn about what is working well and prioritize opportunities for improvement within the CoFu model. We invite you to join us in exploring our evaluation results; learning and growing together; and prioritizing the evaluation’s recommendations in service of improving our community-level outcomes.  Evaluation findings are publicly available via www.coordinatedfunders.org.   
When: Monday, Nov 13, 3-5pm
Where: Washtenaw Community College Morris Lawrence Building, Room 101 
Who: Staff and board members of local human service organizations, community members, elected officials, other local funders, and anyone interested in learning how the Coordinated Funding model can better contribute to the ecosystem of human services in our community.

Optional: Coordinated Funding 101 Webinar
For those new to the model or who would like a refresher on its mechanics prior to the Community Forum, please listen to a brief webinar recording about the Coordinated Funding model available online here.  This webinar focuses on the history of the partnership and the current operating model.  
Should you have any questions about either event, please don't hesitate to reach out to Elisabeth Vanderpool (Elisabeth.Vanderpool@stjoeshealth.org). ",Free
b'Social Justice and Tobacco Control: Impact on Underserved Populations ',2017-11-14T17:00:00,2017-11-14T20:00:00,"A panel of experts in the field of tobacco treatment, policy, and control will discuss tobacco industry practices that target underserved communities, such as minority groups, LGBTQ, low income, and others. The discussion will also focus on tobacco-related health disparities and what can be done to help reduce these inequities.
Panel will be moderated by Alena Williams, MSW, CTTS-M. Alena is a Health Educator with the MHealthy Tobacco Consultation Service. She conducts inpatient tobacco assessments and provides tobacco treatment to patients. She is also a Community Health Advisor Facilitator at the Cancer Support Community of Greater Ann Arbor. In this role, she focuses on health disparities and psychosocial cancer support services within the African American community through outreach, program development, and volunteer training. 
Panelists include:


Lincoln Mondy, Creator, Black Lives/Black Lungs and former Youth Activist Fellow, Truth Initiative


Cliff Douglas, JD, Vice President for Tobacco Control, American Cancer Society (ACS), and Director,  ACS Tobacco Control Center


Kate Donaldson, Health Educator/Public Information Officer, District Health Department #10


Lilianna Reyes, Program Services Director, Affirmations


A reception will follow the event. ",Free
"b""Men's Fellowship Breakfast""",2017-11-11T09:00:00,2017-11-11T11:30:00,"The Michigan Medicine Comprehensive Cancer Center and the Kappa Alpha Psi Fraternity, Inc., (Ann Arbor, Ypsilanti & Inkster Alumni Chapter) invite you to join us for a Men’s Fellowship Breakfast focused on health and wellness through the holidays and beyond. Kindly help us spread the word about this free community event.  Encourage ALL men (including teens) to come hear medical experts talk about ways to be healthier and happier. The event includes health information, answers to your questions,  and hot breakfast. Registration is encouraged; program details are below.  Please let me know if you would like  flyers for promotion.  The breakfast is free and open to all men (young & older). 
 FEATURED TOPICS:

Pancreatic Cancer
Mental Health (Depression, PTSD, Stress, Anxiety & More!)
Health Benefits of Laughter
Youth Health: Concerns & Opportunities

FEATURED PRESENTERS:

Cliff Cho, MD- Pancreatic Cancer Specialist
Harold “Woody” Neighbors, PhD – Mental Health Specialist
Dwayne Gill – A Marine, A Cop and A Comic!
Scott Mial, MD – Family Medicine Specialist

SPECIAL EVENT FEATURES:

Free Flu Shots (Must be 18 or older)
Raffle items: Flat Screen Television, Visa Gift Cards

Details:

What: Men’s Fellowship Breakfast 
When: Saturday, November 11th  from 9:00 – 11:30 am,  with hot breakfast from 8:30 – 9am.

Location:  Washtenaw Community College, Morris Lawrence Building, 4800 E. Huron River Drive, Ann Arbor, MI 48105",Free
b'12 Bars of Xmas Bar Crawl - Ann Arbor',2017-12-09T12:00:00,2017-12-09T20:00:00,"








The 12 Bars of Christmas Crawl is coming to town Saturday December 9th from 12pm-8pm!! Grab your best holiday onesies, Santa suits, ugly sweaters, and elf costumes and get ready to crawl!What you get:- 16oz Bad Santa Stadium Cup for all your drinks!
- Bus transportation to the two bar areas!- Commemorative Santa hat!- Wristband for entry and drink/food specials!- No cover with your ticket purchase!- Drink specials at all participating bars!- Everyone dressed in outrageous costumes!

Participating Bars:
Good Time Charley's (Registration 12pm-3pm)
Alley Bar
Beer Grotto
Blue Leprechaun


Brown Jug


Cantina Taqueria + Bar
Conor O'Neills


Garage Bar


Heidelberg
Necto Nightclub
Pretzel Bell


More coming soon!

Don't miss out on the best crawl of the year! Ticket prices start at just $12 and go up as the event gets closer. Must be 21 to participate. Event will go on rain, snow, or shine!








",Paid
b'Ross Minor in Business Information Session',2017-11-08T17:00:00,2017-11-08T18:00:00,"Current University of Michigan students are welcome to join us in an information session dedicated to the Minor in  Business at the Stephen M. Ross School of Business.  During this session you will learn more about the Minor  through an interactive presentation from Ross admissions staff, academic advisors, and current Minor in Business students. 
The Ross Minor in Business is a 15 credit minor that is an excellent opportunity to build upon your passions and  abilities by gaining an understanding of key business skills, concepts, and perspectives. We hope you will discover this experience yourself!
All Ross Minor in Business information sessions will be held at the Stephen M. Ross School of Business.
When you register, please use your umich.edu email address. Thank you!",Free
b'RossTalks Ann Arbor',2017-12-05T18:00:00,2017-12-05T20:00:00,"RossTalks Ann Arbor
Join alumni, featured guests, and Dean Scott DeRue, the Edward J. Frey Dean of the Stephen M. Ross School of Business, as they come together to sound off on a variety of hot topics in business. This event will be an incredible opportunity to network and engage with fellow alumni and Ross staff. Space is limited, please RSVP by November 28, 2017.
Remarks will begin at 6:30 pm. Hors d’oeuvres and drinks will be served. Business attire is suggested.
We hope to see you soon. Go Blue!",Free
