Name,Start Time,End Time,Description,Price
b'The Championship Final: San Francisco Deltas vs New York Cosmos',2017-11-12T17:00:00,2017-11-12T19:30:00,"Join us for The Championship Final as the SF Deltas take on the NY Cosmos!
This Championship Final game will have a seating layout similar to that of our 10/28 and 11/05 Semifinal game in which the majority of Kezar Stadium was converted to a General Admission seating format, with the exception of three reserved seating sections.
THE ONLY TICKET OPTIONS FOR SALE THIS GAME WILL BE THE FOLLOWING:
General Admission Seating: $5+ feesSupporters Section Seating: $5+ fees
Game Information:

Kick-Off is Sunday, November 12, 2017 at 5pm
Kezar is ADA Accessible: To purchase ADA-accessible seats please contact tickets@sfdeltas.com
For stadium, transportation, and parking information visit our website

For any questions related to tickets, please contact tickets@sfdeltas.com. 





",Paid
b'Fernet-Branca Barback Games & Expo - San Francisco CA',2017-11-12T19:00:00,2017-11-13T00:00:00,"**CLICK BELOW FOR OUR RECAP FROM LAST YEAR** 

 
**DON'T MISS OUR BIGGEST EVENT PRODUCTION TO DATE**
New This Year:
A NEW INDOOR / OUTDOOR VENUE WITH (4) UNIQUE AREAS
 (5x) POP-UP EXHIBITIONS FROM AMERICA'S MOST CELEBRATED BARS 
MUSICAL PERFORMANCES by THE PHARCYDE + TRIPLE THREAT DJs
170 YEARS OF FERNET-BRANCA ART GALLERY
& MUCH, MUCH MORE TO BE ANNOUNCED!
===============================================================
 
FERNET-BRANCA BARBACK GAMES & EXPO
*** Guts. Glory. Music.Fun. Fernet-Branca **  
 


 
The Fernet-Branca Barback Games features gladiators battling through a series of rigorous challenges to crowds of cheering industry friends.
 
On Sunday, November 12th, the best Barbacks from around San Francisco will compete at The Midway SF to determine the city's best barback. 
 
In the end there can be only one.
 
Featuring musical performances from THE PHARCYDE, TRIPLE THREAT DJs + Theatrical & Circus Performers from SF's favorite touring troupes! 
 

 
 
THIS IS A FIRST COME FIRST EVENT.WE SUGGEST ARRIVING EARLY TO GUARANTEE ADMISSION!21+ ONLY  Sunday, November 12th, 2016The Midway900 Marin StSan Francisco, CA 94124
6:00pm Barback Registration7:00pm Doors  =============================================================== 
**ATTENTION PARTICIPATING BARBACKS**
 
- Only the first 40 people that have PRE-REGISTERED online via Eventbrite AND are at the venue in line will be allowed to participate.
 
- We are opening doors at 7:00PM for Barbacks but given the response we suggest you arrive earlier to make sure you are one of the first 40.
 
- You MUST be over 21 with valid ID
 
- Finally - be prepared to sign a waiver and your soul over to the Fernet Gods
===============================================================
 
OFFICIAL HOTEL OF THE BARBACK GAMES: HOTEL ZEPPELIN
 ",Free
b'SFAI\xe2\x80\x94Fort Mason Opening Spectacle',2017-11-10T19:00:00,2017-11-11T17:00:00,"Join us for the free weekend-long Opening Spectacle on November 10, from 7-10pm, and November 11, from 12-5pm. Featuring:


Friday night opening party featuring music, art installations, rauchy performance by Extra Action Marching Band, music by Paul Costuros, opening reception of In Around Beyond, and more!


SFAI CONCENTRATE: Student Art Sale + Open Studios—a chance to see the work of over 100 emerging artists


Newly unveiled exhibitions and commissioned art works by Alicia McCarthy, Jon Rubin, Sans facon will be on view—or debut—at the Opening Spectacle


SFAI Alumni Weekend


Admissions Fall Open House—Undergraduate + Graduate


Fort Point Beer Co. beer garden


Equator Coffees & Teas


Off the Grid Food Trucks


More!


Weekend hours include: 

November 10, 2017 | 7-10pm with events at the Fort Mason Campus
November 11, 2017 | 12-5pm with events at the Fort Mason Campus + Chestnut Street Campus

",Free
"b""SF BEER (and WINE) OLYMPICS! Free + $2 Beers/Wine + 90's Party""",2017-11-10T21:00:00,2017-11-10T23:30:00,"




 
NOTE: YOU MUST ARRIVE BEFORE 9:30PM TO PLAY IN THE GAMES SO BE SURE TO SHOW UP ON TIME. Enter Horizon THROUGH Score Bar at 490 Broadway St. since Horizon is closed except when this event is happening.
FREE to play!
FREE entry before 10PM with a drink special purchase & RSVP!
90's DJ Party following the games.
Drink Special: 5 BEERS or 5 CUPS of WINE for $10 before 9:20PM; 5 for $15 from 9:20-9:40PM, 5 for $20 after 9:40PM.
Ladies who RSVP at https://www.facebook.com/groups/SFLadiesNight/ get FREE VODKA DRINKS!
Games: Beer Pong, Flip Cup, RelaysWin Prizes!--> Everyone's placed on a team based on your country (to make it easy to meet people).--> Teams compete at flip cup, beer pong, & relays.--> Play -or- just watch, drink cheap beer and be social!Meet & compete against travelers, locals, au pairs and students!'Like' us on Facebook *and* RSVP that you're attending & get a $1 shot!
https://www.facebook.com/beerpubcrawl******************************************************WHEN: EVERY FRIDAY!WHERE: HORIZON - 490 Broadway St, near the corner of Kearny St & Broadway(Signup with the Beer Olympics coordinator)TIME: Signup at 9PM - Be sure to arrive by 9:30PM to play in the games!******************************************************




",Free
"b""LOVE + PROPAGANDA SATURDAY'S - FREE with RSVP! (seriesgrp)""",2017-11-11T21:30:00,2017-11-12T02:00:00,"Dance at San Francisco's premier dance-club featuring the best open-format DJs from all over.  NO COVER with RSVP for you and all your friends or reserve a VIP section.
VIP Table service text:  415.766.8114
Experience the all new Love + Propaganda San Francisco.
Situated in San Francisco's Union Square district, Love and Propaganda is a crossroads where music, fashion, and art all meet to form an audio-visual experience unlike anything you've ever seen before. After you've settled into the gorgeous neo-classic inspired design, sound becomes the focal point. Expect to have your understanding of nightlife challenged, as L+P prides itself on the attention put forth to recognize the much broader community of widely acclaimed international and underground producers, DJs, and overall talent that you won’t find anywhere else.
UPCOMING SCHEDULE~
DEUX TWINS (Nov 11)
DJ KAYPER (Nov18)
DJ EXCEL (Nov 25)
LOVE + PROPAGANDA:  85 Campton Pl., San Francisco
VIP TABLE SERVICE CALL / TEXT:  415.766.8114

",Free
b'Sports Basement Presidio: SNOWFEST',2017-11-12T12:00:00,2017-11-12T16:00:00,"This just in: All SnowFest attendees will get 20% off everything during SnowFest! (some exclusions apply)
Our 12th annual Snowfest kicks off November 4 at our newest store in Santa Rosa and will be hosted at four more stores until November 12.
 For every $100 you spend you'll get a 2-for-1 voucher to Squaw|Alpine and a raffle ticket to win tons of prizes. (Bear Valley, Sierra at Tahoe and Homewood restricted tickets also available)
Basementeers get an extra raffle ticket just for RSVP-ing!

Raffle Prizes:
These prizes are going to make your 2018 ski runs the best ones ever! Our top prizes include:

Skis from Rossignol, K2, or Blizzard
A GoPro Hero
A Gold Tahoe Super Pass for Squaw Valley | Alpine Meadows!

Plus score: Rome and Burton snowboard bindings; Patagonia snow kits; jackets from Helly Hansen, Arc’Teryx, and Roxy; and swag from all of these brands and more!**
Ski Resorts:
Meet with our mountain reps to get your lift passes and learn about all the new upgrades you'll see at the lifts and resorts this winter (some resorts may also have lift tickets).
Squaw | Alpine will be selling super discounted Season Passes only available at SnowFest!
Squaw Valley | Alpine Meadows Bear Valley Homewood Sierra-at-Tahoe
Vendors:
It ain’t a snow party without some awesome snow brands! Check out who’s coming:
K2 Rossignol Patagonia* Burton Capita Snowboards Coal Hardware Union Binding Company Rome Snowboards Smith Optics Scott Wintersports Volkl Marker Spyder SuperfeetThirtyTwo Head Tyrolia 2XU Nordica Helly Hansen Holden Outerwear Gordini Blizzard Tecnica Roxy Dynastar LangeSalomon Atomic GoPro Giro* Arc’Teryx* Hestra Gloves*Columbia Sportswear* Marmot*
*Not all vendors will be able to make all dates. Check out our Snowfest Eventbrite pages to see who is going where!
Beneficiary:
All proceeds from our delicious beer vendors will be going towards Outward Bound.
Beer:
Of course, we’re not going to leave you thirsty, brew will be coming from Fort Point Beer. 

Agenda for the day:

12:00pm: Doors Open
1:00pm: Raffle
2:00pm: Raffle
3:00pm: Raffle
4:00pm Last raffle of the day & event ends!

Can't make it to SNOWFEST Presidio? That's okay, we have MORE!


SNOWFEST Campbell, 11/10, 4-8pm


SNOWFEST Berkeley, 11/11, noon-4pm


*Squaw | Alpine 2-for-1 Voucher: Get a free lift ticket when you buy a lift ticket at the mountain window. $150+ value! While supplies last. Details and Restrictions: Complimentary ticket must be used on the same date as the purchased ticket. Offer valid Opening Day 2017 thru Closing Day 2018. Offer not valid on Saturdays and the peak blackout dates (see voucher). Not valid with any other discount offers. No cash value. No refunds.
*Bear Valley ticket: Valid weekdays after January 7, 2018, except peak periods (see voucher). Tickets may be upgraded for $60.00 any day Bear Valley is open AFTER January 7, 2018
 *Sierra at Tahoe and Homewood tickets are also restricted. See ticket for details.
**Prizes are not returnable or exchangeable.",Free
b'Beyonc\xc3\xa9 Dance Class Notification - get announcements for upcoming Queen Bey classes!',2018-01-09T19:30:00,2018-01-09T21:00:00,"Never miss a Beyoncé dance class!  Put your name on this notification list and we'll be sure to let you know in plenty of time which Beyoncé classes are coming up.  We've got some really AWESOME dance routines to choose from.  Each class is 90 minutes long, and each series is 7 weeks long ($125).  You'll learn an entire routine and then perform it in costume at a nightclub in SF (optional, but crazy fun so why wouldn't you?).  Must be over 18 to participate in class.
Check out this sample class:  https://vimeo.com/188779014
ALL HAIL QUEEN BEE!
#Beyonce",Free
b'Pete Souza: An Intimate Portrait of President Obama',2017-11-28T19:00:00,2017-11-28T20:00:00,"Pete Souza, Chief Official White House Photographer for President Obama; Author, Obama: An Intimate PortraitDan Pfeiffer, Co-Host, ""Pod Save America""; CNN Contributor; Former Senior Advisor for Strategy and Communications for President Barack Obama—Moderator
While Barack Obama’s presidency has come to a close, nearly two million photographs documenting this landmark era remain—all taken by Pete Souza, who served as President Obama’s chief official White House photographer. In his new book, Obama: An Intimate Portrait, Souza will offer a look through his lens at what it was like to be alongside the leader of the free world in both moments of great victory and immense challenge.
Souza served as the chief official White House photographer for the entire eight years of the Obama administration. He’ll discuss what it was like to capture both the most important moments of the presidency as well as unguarded ones with the Obama family.
Note: Pre-signed bookplates will only be available to people who purchase a copy of Obama: An Intimate Portrait from The Commonwealth Club.
Time: 6 p.m. check-in and premium reception, 7 p.m. programLocation: Castro Theatre, 429 Castro St., San FranciscoNotes: Obama photo by Pete Souza
All ticket sales are final and nonrefundable.",Paid
b'San Francisco Career Fair.',2018-05-23T09:30:00,2018-05-23T13:00:00,"Meet face to face with top employers hiring for Sales, Customer Service,  Dispatcher, Retail, Financial Services, Management, I.T., Healthcare, Government,  Education, Accounting and more. 
If you have been looking for a new career or just ready to start a new job you don't want to miss this exciting hiring event.
Professional Dress is required and bringing additional copies of your resume is strongly recommended. 
What to expect ? 


Multiple employers hiring for open positions.


Great Networking opportunities in a relaxed, professional environment


Face to face meetings with recruiters, managers and human resources professionals


100% free event to attend


",Free
b'GRYFFIN (dj set) at 1015 FOLSOM',2017-11-10T22:00:00,2017-11-11T04:00:00,"Snowglobe, DJ Dials & 1015 Folsom Present
2017 SnowGlobe Pre-Party ft 
GRYFFIN  With Support From:  TCHiLT | NVD | no7 | Buns | Bisaria | Shambles | DØSTS  
Friday November 10th / 10PM - 3AM / 21+




GRYFFIN 
Facebook  Twitter  Soundcloud
Last year, L.A.-based producer Gryffin delivered two heavy-hitting singles that showcased his deeply melodic take on dance music. With both tracks built on a graceful fusion of indie and electronic elements, “Heading Home (ft. Josef Salvat)” shot to #1 on Spotify’s US and Global Viral charts, while “Whole Heart” (a collaboration with Bipolar Sunshine) hit #2 on Spotify’s New Music Friday playlist. Also known for turning out several of the biggest remixes in recent years—including his masterly reworkings of Tove Lo’s “Talking Body,” CHVRCHES’ “Clearest Blue,” and Years & Years’ “Desire”—Gryffin is now offering up his latest original track and bringing his boundary-shattering artistry to bold new heights. Emotionally charged and irresistibly high-energy, the aptly named “Feel Good” is powered by hypnotic melody, massive beats, and a magnetic vocal performance from singer/songwriter Daya. Fresh off her Grammy Award win for “Don’t Let Me Down” (the multi-platinum smash that earned 2017’s Best Dance Recording prize), Daya lends her soulful vocals to Gryffin’s immaculate arrangement of heavy synth and delicate guitar work. In crafting that arrangement, Gryffin drew equally from his edgy ingenuity as a producer and his carefully honed musicality as a longtime guitarist and classically trained pianist. “The lyrics that Daya came up with had so much intensity to them—writing about that significant other in your life who puts you in a positive, happy state of mind, even when bad things may be happening in your life or in the world. I wanted the production to reflect that intensity, but at the same time create a really positive vibe,” explains Dan Griffith, who’s made music under the name Gryffin since 2014. “My goal with the song was to find that balance, and I ended up hitting it by adding a lot of synth sounds I’d never used before, and by bringing in different guitar textures and then flipping them in a new way. That’s what the Gryffin project is about overall: making electronic music but using real guitar and real piano so that there’s this organic feeling to every song.” Originally from the San Francisco area, Gryffin began his musical journey by taking up piano at age seven. In high school he added guitar to his repertoire in addition to writing his own music for the first time. While studying electrical engineering at University of Southern California, Gryffin broadened his sonic palette by diving into the world of electronic music and teaching himself production with a downloaded copy of Ableton. “I got started during a really exciting time for electronic music—I remember thinking I’d never heard sounds like that before,” recalls Griffith, who lists the early work of artists like Skrillex and Avicii among his first influences. “It all felt so fresh and new to me, and I wanted to see if I could make music like that too.""  Toward the end of his studies at USC, Griffith started posting his original productions online and soon gained attention for his inventive sensibilities. One of his earliest releases, a 2014 remix of Ellie Goulding’s “Burn” was hailed by EDM Tunes for “evok[ing] a cosmic, almost transcendental ambience with an electric guitar backdrop and airy vocal splices,” and quickly expanded his online following. “That remix was the first time I’d used guitar in a dance music production,” notes Gryffin. “All of a sudden I had all these producers messaging me to ask how I did it, which was the moment when I realized that maybe this was a direction I should keep pursuing.” As he sharpened his production skills and refined his vision, Gryffin pushed forward with releasing highly acclaimed remixes (including his 2014 take on Maroon 5’s “Animals,” which would eventually catch the attention of Interscope Records and lead to his signing). In late 2015 he made his stage debut at the SnowGlobe Music Festival, unveiling a dynamic performance that deftly introduced live instrumentation into the dance music format. With “Heading Home” arriving in early 2016—and accumulating a million plays within just a week of its release via Darkroom/Interscope Records—Gryffin next embarked on his sold-out Heading Home Tour and later played major summer festivals like Electric Forest, Camp Bisco, and Firefly. Released in August, “Whole Heart” racked up more than 35 million streams on Spotify and served as the launching point for Gryffin’s biggest tour to date: the Whole Heart Live Tour, a fall 2016 trek that spanned North America. With a highly-buzzed about set at Coachella both weekends this year and upcoming performances at A-list festivals like Lollapalooza and Governor’s Ball 2017, Gryffin thrives on creating an unforgettable stage show that blurs the line between electronic music and raw live performance. Further proving the vitality of his music, several artists have taken to performing Gryffin’s versions of their own songs when playing live. And with his name referencing the mythical half-lion/half-eagle creature and its power to soar, Gryffin aims to continue instilling a potent, uplifting energy into each of his tracks. “Part of the reason I like working with piano and guitar so much is that it adds a human element that can’t be replicated—you might not even realize it as a listener, but you feel it on some deeper level,” he says. “It builds this connection that’s really powerful, and to me that ability to make music that moves people and picks them up is the most rewarding thing in the world.”

Gryffin - Love In Ruins ft. Sinead Harnett
Plays: 232,190


Tickets: After purchasing a ticket through Eventbrite, you will receive an email with your tickets attached as a PDF. Please PRINT out your tickets and bring them with you on the night of the event. By purchasing a ticket you agree to receive periodic email communication from 1015 Folsom. Presale tickets must be redeemed by 1:30am. All events are 21+ | Please bring valid identification | NO REFUNDS ",Paid
b'Uncorked: SF 90+',2017-11-11T13:00:00,2017-11-11T21:00:00,"Uncorked Wine Festivals is coming back to SF with it's first ever 90+ event. This event features wines from across the globe rated 90 points and higher including local favorites, suprising sparkling wines and champagnes, and international delights. Plus an outdoor DJ lounge, custom photo booth and amazing local food vendors. 
There are two sessions for this event. The first session has VIP admission ($70) from 1-2pm featuring the extra hour of tasting with shorter lines and some exclusive pours. General admission ($60) begins at 2pm and this session ends at 5pm. The second session is all general admission from 6-9pm. Both tickets include all your wine tastings with food sold separately. 
Come sip and savor incredible wines while overlooking the city at this stunning venue.
This event is 21 and over only.
Cocktail attire is requested but not required.
This event benefits SF Yellow Bike Project (www.sfyellowbike.org)
Refund requests are accepted until November 3rd.",Paid
